Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,,Percent,57.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,,,,Percent,64.4
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,Urban,,,Percent,50.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,Urban,,,Percent,59.6
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,Rural,,,Percent,62.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,,Rural,,,Percent,67.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,Male,,,,,Percent,67.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,Male,,,,,Percent,72.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,Female,,,,,Percent,44.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,Female,,,,,Percent,52.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Batken,,,,,,Percent,63.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Batken,,,,,,Percent,71.6
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Jalal-Abad,,,,,,Percent,46.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Jalal-Abad,,,,,,Percent,54.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Issyk-Kul,,,,,,Percent,69.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Issyk-Kul,,,,,,Percent,72.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Naryn,,,,,,Percent,71.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Naryn,,,,,,Percent,78.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Osh,,,,,,Percent,70.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Osh,,,,,,Percent,73.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Talas,,,,,,Percent,73.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Talas,,,,,,Percent,88.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Chui,,,,,,Percent,69.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Chui,,,,,,Percent,65.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Bishkek (city),,,,,,Percent,31.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Bishkek (city),,,,,,Percent,45.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Osh (city),,,,,,Percent,86.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Osh (city),,,,,,Percent,98.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,15 to 28 years old,,,,Percent,56.6
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,15 to 28 years old,,,,Percent,61.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,59.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,66.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,54.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that feel safe walking alone around the area they live in,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,61.9
