Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",5.9
2008,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",5.5
2009,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",6.2
2010,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",6.2
2011,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",5.5
2012,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",4.4
2013,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",3.8
2014,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",3.5
2015,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",3.6
2016,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",2.7
2017,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",2.5
2018,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",2.3
2019,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Kyrgyzstan,"Per 100,000 population",2.0
2007,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",1.9
2008,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",1.9
2009,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",2.1
2010,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",2.5
2011,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",2.7
2012,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",2.4
2013,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",2.2
2014,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",0.6
2015,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",0.8
2016,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",2.0
2017,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",1.6
2018,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",1.5
2019,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Batken,"Per 100,000 population",1.9
2007,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Jalal-Abad,"Per 100,000 population",1.7
2008,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Jalal-Abad,"Per 100,000 population",2.5
2009,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Jalal-Abad,"Per 100,000 population",3.6
2010,Normal value,Units,Country Data,Annual,National,Death rate from assaults per 100 000 population,Jalal-Abad,"Per 100,000 population",5.0
