Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,,PT,24.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,,PT,32.172359
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,U,,,PT,28.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,U,,,PT,36.797119
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,R,,,PT,22.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,R,,,PT,29.421489
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,M,Y_GE15,,,,PT,23.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,M,Y_GE15,,,,PT,30.211974
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,F,Y_GE15,,,,PT,25.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,F,Y_GE15,,,,PT,33.807908
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG05,,Y_GE15,,,,PT,11.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG05,,Y_GE15,,,,PT,20.274736
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG03,,Y_GE15,,,,PT,13.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG03,,Y_GE15,,,,PT,26.361287
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG02,,Y_GE15,,,,PT,8.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG02,,Y_GE15,,,,PT,9.973074
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG04,,Y_GE15,,,,PT,35.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG04,,Y_GE15,,,,PT,43.200634
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG06,,Y_GE15,,,,PT,30.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG06,,Y_GE15,,,,PT,37.460737
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG07,,Y_GE15,,,,PT,18.4
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG07,,Y_GE15,,,,PT,32.044373
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG08,,Y_GE15,,,,PT,35.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG08,,Y_GE15,,,,PT,41.213464
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG11,,Y_GE15,,,,PT,30.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG11,,Y_GE15,,,,PT,34.961164
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG21,,Y_GE15,,,,PT,23.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG21,,Y_GE15,,,,PT,40.128114
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y15T28,,,,PT,12.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y15T28,,,,PT,16.40832
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y29T62,,,,PT,26.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y29T62,,,,PT,33.477733
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE58,,,,PT,39.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE58,,,,PT,55.192244
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_1,PT,17.0
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_1,PT,25.253959
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_2,PT,10.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_2,PT,15.506281
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_3,PT,18.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_3,PT,25.60731
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,FB_BNK_ACCSS,KG,,Y_GE15,,,ISCED11_4,PT,32.1
