Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,,PT,48.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,,,,PT,52.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,U,,,PT,66.0
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,U,,,PT,63.6
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,R,,,PT,38.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,,,R,,,PT,45.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,M,,,,,PT,47.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,M,,,,,PT,53.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,F,,,,,PT,49.0
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG,F,,,,,PT,51.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG05,,,,,,PT,32.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG05,,,,,,PT,58.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG03,,,,,,PT,18.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG03,,,,,,PT,28.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG02,,,,,,PT,72.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG02,,,,,,PT,74.6
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG04,,,,,,PT,39.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG04,,,,,,PT,47.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG06,,,,,,PT,39.6
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG06,,,,,,PT,48.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,SP_TRN_PUBL,KG07,,,,,,PT,42.2
