Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG,,Y0T4,,,PT,78.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG,,Y0T4,,,PT,71.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG05,,Y0T4,,,PT,81.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG05,,Y0T4,,,PT,83.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG03,,Y0T4,,,PT,87.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG03,,Y0T4,,,PT,63.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG02,,Y0T4,,,PT,81.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG02,,Y0T4,,,PT,79.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG04,,Y0T4,,,PT,80.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG04,,Y0T4,,,PT,72.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG06,,Y0T4,,,PT,69.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SE_DEV_ONTRK,KG06,,Y0T4,,,PT,65.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,SE_DEV_ONTRK,KG07,,Y0T4,,,PT,84.9
