Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,,,PT,2.2
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,U,,PT,2.5
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,R,,PT,2.1
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG05,F,Y15T49,,,PT,0.0
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG03,F,Y15T49,,,PT,0.9
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG02,F,Y15T49,,,PT,0.7
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG04,F,Y15T49,,,PT,1.7
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG06,F,Y15T49,,,PT,1.1
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG07,F,Y15T49,,,PT,1.2
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG08,F,Y15T49,,,PT,6.3
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG11,F,Y15T49,,,PT,3.1
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG21,F,Y15T49,,,PT,1.7
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T19,,,PT,1.7
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T17,,,PT,1.1
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y18T19,,,PT,3.0
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y20T24,,,PT,2.3
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y25T29,,,PT,2.6
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y30T34,,,PT,2.3
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y35T39,,,PT,2.4
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y40T44,,,PT,2.3
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y45T49,,,PT,1.9
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,,ISCED11_2,PT,2.3
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,,ISCED11_3,PT,1.2
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,,ISCED11_4,PT,2.7
2018,A,0,C,"По данным кластерного обследования по многим показателям, 2018г.",A,N,VC_VOV_ROBB,KG,F,Y15T49,,ISCED11_6_7,PT,3.3
