Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,DISABILITY_STATUS,UNIT_MEASURE,Value
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,,,,PT,57.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,,,PT,74.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,M,,,,,PT,59.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,M,,,,,PT,75.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,F,,,,,PT,54.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,F,,,,,PT,73.0
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,U,,,PT,60.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,U,,,PT,76.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,R,,,PT,56.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,R,,,PT,73.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG05,,,,,,PT,49.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG05,,,,,,PT,46.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG03,,,,,,PT,42.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG03,,,,,,PT,65.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG02,,,,,,PT,48.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG02,,,,,,PT,80.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG04,,,,,,PT,58.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG04,,,,,,PT,74.0
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG06,,,,,,PT,57.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG06,,,,,,PT,74.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG07,,,,,,PT,71.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG07,,,,,,PT,79.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG08,,,,,,PT,66.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG08,,,,,,PT,83.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG11,,,,,,PT,70.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG11,,,,,,PT,80.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG21,,,,,,PT,71.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG21,,,,,,PT,85.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,Y1T2,,,,PT,45.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,Y1T2,,,,PT,55.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,Y3T4,,,,PT,67.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,Y3T4,,,,PT,71.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,Y5T9,,,,PT,61.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,Y5T9,,,,PT,79.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,Y10T14,,,,PT,52.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,Y10T14,,,,PT,78.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,,_L_CHD,PT,83.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,,_L_CHWD,PT,75.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,,_L_MD,PT,92.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,,_L_MWD,PT,74.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,,_U,PT,69.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,,Q1,,PT,55.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,Q1,,PT,70.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,,Q2,,PT,58.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,Q2,,PT,70.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,,Q3,,PT,54.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,Q3,,PT,73.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,,Q4,,PT,56.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,VC_VAW_PHYPYV,KG,,,,Q4,,PT,81.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014",A,N,VC_VAW_PHYPYV,KG,,,,Q5,,PT,62.5
