Year,OBS_STATUS,UNIT_MULT,NATURE,COMMENT_OBS,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,UNIT_MEASURE,Value
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,,,,,PT,42.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,,,,,PT,67.4
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG05,F,,,,,,PT,45.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG05,F,,,,,,PT,48.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG03,F,,,,,,PT,31.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG03,F,,,,,,PT,56.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG02,F,,,,,,PT,46.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG02,F,,,,,,PT,65.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG04,F,,,,,,PT,58.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG04,F,,,,,,PT,79.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG06,F,,,,,,PT,38.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG06,F,,,,,,PT,71.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG07,F,,,,,,PT,43.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG07,F,,,,,,PT,79.1
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG08,F,,,,,,PT,47.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG08,F,,,,,,PT,70.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG11,F,,,,,,PT,47.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG11,F,,,,,,PT,69.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG21,F,,,,,,PT,38.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG21,F,,,,,,PT,71.3
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,U,,,,PT,43.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,U,,,,PT,68.6
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,,R,,,,PT,41.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,,R,,,,PT,66.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y15T19,,,,,PT,17.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y15T19,,,,,PT,31.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y20T24,,,,,PT,28.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y20T24,,,,,PT,53.8
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y25T29,,,,,PT,39.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y25T29,,,,,PT,59.9
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y30T34,,,,,PT,50.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y30T34,,,,,PT,76.2
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y35T39,,,,,PT,57.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y35T39,,,,,PT,74.5
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y40T44,,,,,PT,52.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SH_FPL_MTMM,KG,F,Y40T44,,,,,PT,68.7
2014,A,0,C,"According to Multiple Indicator Cluster Survey, 2014.",A,N,SH_FPL_MTMM,KG,F,Y45T49,,,,,PT,29.3
