Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",9.2
2008,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",8.9
2009,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",8.5
2010,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",9.2
2011,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",8.5
2012,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",9.3
2013,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",7.8
2014,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",7.9
2015,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",7.0
2016,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",6.9
2017,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",6.3
2018,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",6.0
2019,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Kyrgyzstan,"Per 100,000 population",5.8
2007,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",6.6
2008,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",8.5
2009,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",7.4
2010,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",6.4
2011,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",8.5
2012,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",9.7
2013,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",6.9
2014,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",6.1
2015,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",8.2
2016,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",5.8
2017,Normal value,Units,Country Data,Annual,National,Suicide mortality rate,Batken,"Per 100,000 population",6.1
