Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",15
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",19
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",13
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",9
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",10
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",11
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",8
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",8
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",7
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",8
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",8
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",8
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,,"Per 100,000 population",9
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",9
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",14
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",8
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",6
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",4
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",7
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",5
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",3
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",3
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",4
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",4
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",5
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Female,"Per 100,000 population",5
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",22
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",24
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",18
2010,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",12
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",16
2012,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",16
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",12
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",13
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",12
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",11
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",12
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",11
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Kyrgyzstan,Male,"Per 100,000 population",13
2007,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",9
2008,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",2
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",16
2011,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",4
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",6
2014,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",2
2015,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",16
2016,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",2
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",16
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",8
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,,"Per 100,000 population",32
2009,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Female,"Per 100,000 population",9
2013,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Female,"Per 100,000 population",9
2017,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Female,"Per 100,000 population",4
2018,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Female,"Per 100,000 population",8
2019,Normal value,Units,Country Data,Annual,National,Mortality from the toxic effect of carbon monoxide per 100 000 population,Batken,Female,"Per 100,000 population",19
