Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Observation-level footnotes,Value
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,25.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,26.9
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,28.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,28.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,28.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,30.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,31.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,31.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Kyrgyzstan,Percent,,31.5
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,3.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,3.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,4.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,5.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,6.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,6.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,12.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,9.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Batken,Percent,,5.9
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,8.8
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,11.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,5.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,5.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,5.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,8.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,14.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,9.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Jalal-Abad,Percent,,6.2
2011,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,15.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,18.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,25.1
2014,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,24.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,27.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with sustainable access to sanitation facilities,Issyk-Kul,Percent,,30.0
