Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,UNIT_MEASURE,Value
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,,,,PT,26.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,M,,,,,,,PT,33.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,F,,,,,,,PT,19.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,U,,,,,PT,11.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,R,,,,,PT,33.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG05,,,,,,,,PT,27.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG03,,,,,,,,PT,34.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG02,,,,,,,,PT,27.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG04,,,,,,,,PT,40.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG06,,,,,,,,PT,33.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG07,,,,,,,,PT,35.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG08,,,,,,,,PT,24.5
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG11,,,,,,,,PT,7.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG21,,,,,,,,PT,6.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,Y5T11,,,,,,PT,27.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,Y12T14,,,,,,PT,23.3
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,Y15T17,,,,,,PT,26.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,,_L_SCH_ATT,,PT,27.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,,_L_SCH_NOT_ATT,,PT,21.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,ISCED11_1,,,PT,33.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,ISCED11_2,,,PT,28.7
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,ISCED11_3,,,PT,29.2
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,ISCED11_4,,,PT,24.4
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,ISCED11_6_7,,,PT,23.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,,,_L_CHD,PT,34.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,,,,_L_CHWD,PT,25.9
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,Q1,,,,PT,32.1
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,Q2,,,,PT,30.6
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,Q3,,,,PT,31.8
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,Q4,,,,PT,28.0
2018,A,0,C,"According to Multiple Indicator Cluster Survey, 2018",A,N,SL_TLF_CHLDEC,KG,,,,Q5,,,,PT,6.1
