Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,18.0
2011,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,18.0
2012,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,19.0
2013,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,19.0
2014,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,21.0
2015,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,22.0
2016,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,24.0
2017,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,23.0
2018,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,22.0
2019,Normal value,Units,Country Data,Annual,National,Number of insurance companies reporting,Kyrgyzstan,Number,20.0
2010,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,477.2
2011,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,292.9
2012,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,337.8
2013,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,405.4
2014,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,1003.2
2015,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,967.0
2016,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,921.3
2017,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,1004.4
2018,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,1092.7
2019,Normal value,Millions,Country Data,Annual,National,Insurance premiums collected,Kyrgyzstan,Local currency,1308.1
