Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,,Percent,24.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,,Percent,32.172359
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,Urban,,,Percent,28.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,Urban,,,Percent,36.797119
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,Rural,,,Percent,22.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,Rural,,,Percent,29.421489
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,Male,15 years old and over,,,,Percent,23.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,Male,15 years old and over,,,,Percent,30.211974
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,Female,15 years old and over,,,,Percent,25.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,Female,15 years old and over,,,,Percent,33.807908
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Batken,,15 years old and over,,,,Percent,11.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Batken,,15 years old and over,,,,Percent,20.274736
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Jalal-Abad,,15 years old and over,,,,Percent,13.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Jalal-Abad,,15 years old and over,,,,Percent,26.361287
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Issyk-Kul,,15 years old and over,,,,Percent,8.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Issyk-Kul,,15 years old and over,,,,Percent,9.973074
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Naryn,,15 years old and over,,,,Percent,35.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Naryn,,15 years old and over,,,,Percent,43.200634
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Osh,,15 years old and over,,,,Percent,30.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Osh,,15 years old and over,,,,Percent,37.460737
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Talas,,15 years old and over,,,,Percent,18.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Talas,,15 years old and over,,,,Percent,32.044373
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Chui,,15 years old and over,,,,Percent,35.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Chui,,15 years old and over,,,,Percent,41.213464
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Bishkek (city),,15 years old and over,,,,Percent,30.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Bishkek (city),,15 years old and over,,,,Percent,34.961164
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Osh (city),,15 years old and over,,,,Percent,23.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Osh (city),,15 years old and over,,,,Percent,40.128114
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 to 28 years old,,,,Percent,12.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 to 28 years old,,,,Percent,16.40832
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,26.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,33.477733
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,39.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,55.192244
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Primary education,Percent,17.0
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Primary education,Percent,25.253959
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Lower secondary education,Percent,10.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Lower secondary education,Percent,15.506281
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Upper secondary education,Percent,18.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Upper secondary education,Percent,25.60731
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Post-secondary non-tertiary education,Percent,32.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Post-secondary non-tertiary education,Percent,39.576314
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Kyrgyzstan,,15 years old and over,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,44.1
