Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",4.3
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",4.0
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",3.2
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",2.5
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",3.2
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",2.8
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",1.8
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",1.7
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",1.9
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",1.3
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",1.2
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",0.8
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Kyrgyzstan,"Per 100,000 population",0.9
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",11.4
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",11.5
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",8.1
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",7.8
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",11.0
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",5.3
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",6.7
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",7.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",5.3
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",3.6
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",3.1
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",1.5
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Batken,"Per 100,000 population",2.1
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",4.1
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",3.5
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",3.5
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",2.8
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",2.4
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",2.3
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",1.5
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",1.4
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",2.2
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",0.9
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",1.3
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",0.7
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Jalal-Abad,"Per 100,000 population",0.4
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Issyk-Kul,"Per 100,000 population",3.5
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Issyk-Kul,"Per 100,000 population",3.0
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Issyk-Kul,"Per 100,000 population",1.1
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Issyk-Kul,"Per 100,000 population",0.9
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Issyk-Kul,"Per 100,000 population",2.9
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene",Issyk-Kul,"Per 100,000 population",1.8
