Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,86.5
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,80.2
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,81.8
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,80.0
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,78.4
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,88.7
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,13.5
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,19.8
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,18.2
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,20.0
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,21.6
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Total,Percent,11.3
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,29.3
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,24.5
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,29.2
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,32.1
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,24.0
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,41.5
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,70.7
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,75.5
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,70.8
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,67.9
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,76.0
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Economic affairs,Percent,58.5
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,96.5
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,97.6
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,97.6
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,98.6
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,94.2
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,95.5
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,3.5
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,2.4
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,2.4
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,1.4
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,5.8
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Health,Percent,4.5
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,92.2
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,89.6
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,90.6
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,84.8
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,90.4
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,91.6
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,7.8
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,10.4
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,9.4
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,15.2
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,9.6
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Education,Percent,8.4
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,94.3
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,89.4
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,91.7
2016,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,99.4
2017,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,90.1
2018,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government recurrent expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,95.1
2013,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,5.7
2014,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,10.6
2015,Normal value,Units,Country Data,*according to the MOF of the KR,Annual,National,Proportion of government capital expenditure to sectors,Kyrgyzstan,Sector: Housing and community amenities,Percent,8.3
