Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,12.682241
2008,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,11.85677
2009,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,11.505973
2010,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,10.442468
2011,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,11.743119
2012,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,11.831386
2013,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,12.209281
2014,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,11.581086
2015,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,10.209622
2016,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,10.170663
2017,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,9.727135
2018,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,20.734908
2019,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Kyrgyzstan,Percent,8.555572
2007,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,14.521452
2008,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,16.4
2009,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,14.425428
2010,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,14.469914
2011,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,13.604488
2012,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,11.659808
2013,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,10.513141
2014,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,10.607867
2015,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,9.737418
2016,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,9.543011
2017,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,7.394366
2018,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,16.6215
2019,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Batken,Percent,7.560756
2007,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Jalal-Abad,Percent,11.271676
2008,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Jalal-Abad,Percent,11.738535
2009,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Jalal-Abad,Percent,10.985825
2010,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Jalal-Abad,Percent,9.550419
2011,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Jalal-Abad,Percent,13.407222
2012,Normal value,Units,Country Data,Annual,National,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Jalal-Abad,Percent,13.228863
