Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,,PT,50.2
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,,PT,50.5
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,,PT,45.8
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,,PT,42.3
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,M,,,PT,50.3
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,M,,,PT,50.3
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,M,,,PT,45.8
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,M,,,PT,42.7
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,F,,,PT,50.1
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,F,,,PT,50.6
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,F,,,PT,45.9
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,F,,,PT,41.9
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y0T18,,PT,59.7
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y0T18,,PT,60.0
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y0T18,,PT,56.0
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y0T18,,PT,52.0
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y18T64,,PT,43.7
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y18T64,,PT,44.1
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y18T64,,PT,39.3
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y18T64,,PT,35.9
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y_GE65,,PT,49.2
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y_GE65,,PT,46.4
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y_GE65,,PT,38.6
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,Y_GE65,,PT,37.0
2016,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,U,PT,36.9
2017,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,U,PT,38.7
2018,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,U,PT,33.8
2019,A,0,C,* Integrated sample survey of household budgets and labor.,A,N,SI_POV_NMPI,KG,,,U,PT,31.1
