Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Value
2009,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,8.1
2010,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,10.0
2011,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,24.6
2012,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,11.2
2013,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,12.2
2014,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,51.1
2015,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,55.0
2016,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,74.4
2017,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,75.9
2018,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,84.9
2019,Normal value,Units,Country Data,Annual,National,Participation rate in organized learning (one year before the official primary entry age),Kyrgyzstan,under 6 years old,Percent,77.6
