Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,93
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,281
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,71
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,158
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,140
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,99
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,95
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,62
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,53
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,47
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,141
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,18
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,,Number,17
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,74
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,184
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,48
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,106
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,93
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,65
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,62
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,39
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,33
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,37
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,85
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,14
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Male,Number,8
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,19
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,97
2009,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,23
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,52
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,47
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,34
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,33
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,23
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,20
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,10
2017,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,56
2018,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,4
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Kyrgyzstan,Female,Number,9
2007,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,8
2008,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,9
2010,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,15
2011,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,7
2012,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,9
2013,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,3
2014,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,3
2015,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,1
2016,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,9
2019,Normal value,Units,Country Data,Annual,National,Number of deaths due to disaster,Batken,,Number,6
