Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,899.0
2011,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,945.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,944.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,910.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,944.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,945.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,935.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,939.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,951.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Kyrgyzstan,Percent,950.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,39.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,91.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,91.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,96.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,96.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,96.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Batken,Percent,96.2
2010,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,61.2
2011,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,63.6
2012,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,60.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,62.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,53.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,35.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,38.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,62.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,62.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Jalal-Abad,Percent,62.3
2010,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,100.0
2011,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,98.1
2012,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,98.1
2013,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,100.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,100.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,101.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,97.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,97.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,99.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Issyk-Kul,Percent,99.96
2011,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Naryn,Percent,100.0
2010,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,0.0
2011,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,0.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,0.0
2013,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,0.0
2014,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,21.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,22.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,98.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,95.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,98.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Talas,Percent,98.2
2010,Normal value,Units,Country Data,Annual,National,Proportion of safely treated domestic wastewater flows,Chui,Percent,44.2
