Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,94.1
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,95.3
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,95.4
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,96.5
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,95.1
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,96.2
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,96.9
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,95.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,96.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,96.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,93.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,94.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Kyrgyzstan,Percent,94.351083
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,93.4
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,96.8
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,95.4
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,96.8
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,96.7
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,98.3
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,97.7
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,98.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,98.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,98.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,96.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,96.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Batken,Percent,98.322619
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,93.6
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,95.6
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,95.9
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,95.9
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,94.2
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,95.9
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,97.8
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,94.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,96.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,95.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,93.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,96.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Jalal-Abad,Percent,90.174029
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,93.9
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,95.2
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,95.3
2010,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,97.2
2011,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,93.6
2012,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,96.9
2013,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,97.3
2014,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,91.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,98.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,95.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,96.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,95.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Issyk-Kul,Percent,94.575714
2007,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,94.4
2008,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,95.2
2009,Normal value,Units,Country Data,Annual,National,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Naryn,Percent,95.3
