Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",29.5
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",30.1
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",31.2
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",34.1
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",41.4
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",42.1
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",41.9
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",43.3
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",42.3
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",38.1
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",33.9
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",35.9
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Kyrgyzstan,Female,15 to 19 years old,"Per 1,000 population",37.7
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",25.4
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",27.2
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",30.6
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",36.1
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",40.2
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",44.6
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",43.2
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",43.3
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",38.4
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",36.5
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",31.2
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",30.2
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Batken,Female,15 to 19 years old,"Per 1,000 population",35.7
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",30.1
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",33.0
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",36.8
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",38.8
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",47.6
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",45.3
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",44.8
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",47.7
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",53.5
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",39.3
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",34.7
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",36.2
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Jalal-Abad,Female,15 to 19 years old,"Per 1,000 population",38.0
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",27.5
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",27.7
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",30.0
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",30.2
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",31.8
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",31.8
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",31.0
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",31.8
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",45.4
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",32.8
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",25.5
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",28.8
2019,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Issyk-Kul,Female,15 to 19 years old,"Per 1,000 population",25.3
2007,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",27.1
2008,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",23.1
2009,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",30.4
2010,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",29.7
2011,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",34.3
2012,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",33.0
2013,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",27.7
2014,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",29.2
2015,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",30.3
2016,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",29.1
2017,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",20.2
2018,Normal value,Units,Country Data,Annual,National,"Adolescent birth rate (per 1,000 women aged 15-19 years)",Naryn,Female,15 to 19 years old,"Per 1,000 population",22.7
