Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,2331
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,2083
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,2050
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1833
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1813
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,2178
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,2406
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1920
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1708
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1453
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1254
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1469
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1464
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1622
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,,Number,1662
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,295
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,151
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,154
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,168
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,94
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,85
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,226
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,157
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,55
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,80
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,80
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,84
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,99
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,104
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: material difficulty,Number,152
2005,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,86
2006,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,128
2007,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,116
2008,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,74
2009,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,55
2010,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,151
2011,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,72
2012,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,27
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,32
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,3
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,16
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,17
2017,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,24
2018,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,39
2019,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,Cause: unwillingness of parents,Number,4
2013,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,3
2014,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,1
2015,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,8
2016,Normal value,Units,Country Data,Annual,National,Number of children and adolescents 7-17 years old who did not start studies in general education organizations,Kyrgyzstan,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",Number,3
