Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",21.062709
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",19.633713
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",18.141025
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",16.397145
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",15.346363
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",14.627093
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",14.891975
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",15.641512
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",13.997993
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",12.670713
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",11.795339
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",12.0
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Kyrgyzstan,under 1 month old,"Per 1,000 live births",11.8
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",20.020582
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",20.371252
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",17.752959
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",17.905103
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",15.911964
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",13.333333
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",13.29229
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",12.498302
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",11.21983
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",10.61082
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",10.611457
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",9.3
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Batken,under 1 month old,"Per 1,000 live births",10.5
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",17.491993
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",13.828495
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",13.109231
2010,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",11.41671
2011,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",11.64604
2012,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",11.539979
2013,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",13.183481
2014,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",14.415326
2015,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",12.659814
2016,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",11.493097
2017,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",9.918574
2018,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",10.2
2019,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Jalal-Abad,under 1 month old,"Per 1,000 live births",11.7
2007,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",17.433752
2008,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",18.44146
2009,Normal value,Units,Country Data,Annual,National,Neonatal mortality rate,Issyk-Kul,under 1 month old,"Per 1,000 live births",16.389014
