Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",12.090992
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",10.585236
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",10.866987
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",9.159392
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",9.955113
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",10.075772
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",8.0
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",7.5
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",5.9
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",6.0
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",5.3
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",5.139872
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,,"Per 100,000 population",3.918523
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",10.26386
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",8.088592
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",7.22507
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",6.597241
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",7.700463
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",7.084345
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",6.4
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",5.5
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",4.2
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",4.5
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",4.3
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",3.54522
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Female,"Per 100,000 population",2.520831
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",13.967856
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",13.149996
2009,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",14.604805
2010,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",11.787756
2011,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",12.267172
2012,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",13.139518
2013,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",9.5
2014,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",9.5
2015,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",7.5
2016,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",7.5
2017,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",6.2
2018,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",6.760797
2019,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Kyrgyzstan,Male,"Per 100,000 population",5.337712
2007,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",20.180533
2008,Normal value,Units,Country Data,Annual,National,Prevalence of hepatitis B surface antigen (HBsAg),Batken,,"Per 100,000 population",20.012808
