Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Disability status,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,,Percent,57.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,,Percent,74.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,Male,,,,,Percent,59.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,Male,,,,,Percent,75.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,Female,,,,,Percent,54.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,Female,,,,,Percent,73.0
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,Urban,,,Percent,60.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,Urban,,,Percent,76.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,Rural,,,Percent,56.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,Rural,,,Percent,73.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Batken,,,,,,Percent,49.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Batken,,,,,,Percent,46.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Jalal-Abad,,,,,,Percent,42.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Jalal-Abad,,,,,,Percent,65.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Issyk-Kul,,,,,,Percent,48.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Issyk-Kul,,,,,,Percent,80.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Naryn,,,,,,Percent,58.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Naryn,,,,,,Percent,74.0
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh,,,,,,Percent,57.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh,,,,,,Percent,74.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Talas,,,,,,Percent,71.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Talas,,,,,,Percent,79.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Chui,,,,,,Percent,66.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Chui,,,,,,Percent,83.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Bishkek (city),,,,,,Percent,70.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Bishkek (city),,,,,,Percent,80.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh (city),,,,,,Percent,71.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Osh (city),,,,,,Percent,85.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,1 to 2 years old,,,,Percent,45.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,1 to 2 years old,,,,Percent,55.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,3 to 4 years old,,,,Percent,67.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,3 to 4 years old,,,,Percent,71.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,5 to 9 years old,,,,Percent,61.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,5 to 9 years old,,,,Percent,79.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,10 to 14 years old,,,,Percent,52.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,10 to 14 years old,,,,Percent,78.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,Child with disability,Percent,83.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,Child without disability,Percent,75.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,Mother with disability,Percent,92.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,Mother without disability,Percent,74.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,,No information,Percent,69.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,55.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,70.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,Quintile 2,,Percent,58.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,Quintile 2,,Percent,70.6
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,Quintile 3,,Percent,54.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Kyrgyzstan,,,,Quintile 3,,Percent,73.1
