Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Economic activity,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,87.7
2008,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,59.8
2009,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,49.9
2010,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,47.7
2011,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,43.3
2012,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,43.7
2013,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,38.5
2014,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,36.9
2015,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,31.5
2016,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,27.9
2017,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,26.9
2018,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,26.3
2019,Normal value,Units,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,,Kilowatt-hours per 1mn som,24.41
2007,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,20.5
2008,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.0
2009,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,15.6
2010,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.3
2011,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.3
2012,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.7
2013,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,14.9
2014,Normal value,Thousands,Country Data,Annual,National,Power intensity of GDP by indusry,Kyrgyzstan,"Agriculture, forestry and fishing",Thousands kilowatt-hours per 1mn som,12.9
