Year,OBS_STATUS,UNIT_MULT,NATURE,SOURCE_DETAIL,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,UNIT_MEASURE,Value
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,,PT,62.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,,PT,64.1
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,U,,,PT,67.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,U,,,PT,71.1
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,R,,,PT,60.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,R,,,PT,59.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,M,Y_GE15,,,,PT,63.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,M,Y_GE15,,,,PT,63.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,F,Y_GE15,,,,PT,62.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,F,Y_GE15,,,,PT,64.4
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG05,,Y_GE15,,,,PT,43.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG05,,Y_GE15,,,,PT,58.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG03,,Y_GE15,,,,PT,55.3
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG03,,Y_GE15,,,,PT,48.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG02,,Y_GE15,,,,PT,54.2
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG02,,Y_GE15,,,,PT,59.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG04,,Y_GE15,,,,PT,40.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG04,,Y_GE15,,,,PT,57.0
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG06,,Y_GE15,,,,PT,75.6
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG06,,Y_GE15,,,,PT,67.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG07,,Y_GE15,,,,PT,63.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG07,,Y_GE15,,,,PT,58.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG08,,Y_GE15,,,,PT,65.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG08,,Y_GE15,,,,PT,68.1
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG11,,Y_GE15,,,,PT,69.7
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG11,,Y_GE15,,,,PT,80.4
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG21,,Y_GE15,,,,PT,68.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG21,,Y_GE15,,,,PT,67.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y15T28,,,,PT,82.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y15T28,,,,PT,84.7
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y29T62,,,,PT,63.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y29T62,,,,PT,66.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE58,,,,PT,25.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE58,,,,PT,21.3
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_1,PT,47.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_1,PT,48.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_2,PT,69.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_2,PT,66.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_3,PT,56.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_3,PT,57.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_4,PT,61.9
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_4,PT,64.2
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_6_7,PT,81.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,,ISCED11_6_7,PT,83.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q1,,PT,48.0
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q1,,PT,51.4
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q2,,PT,59.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q2,,PT,63.9
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q3,,PT,64.8
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q3,,PT,64.5
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q4,,PT,67.1
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q4,,PT,69.1
2018,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q5,,PT,69.5
2019,A,0,C,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,A,N,IT_USE_II99,KG,,Y_GE15,,Q5,,PT,67.9
