Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,50.2
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,50.5
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,45.8
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,,Percent,42.3
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,50.3
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,50.3
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,45.8
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Male,,,Percent,42.7
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,50.1
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,50.6
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,45.9
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,Female,,,Percent,41.9
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,59.7
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,60.0
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,56.0
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,under 18 years old,,Percent,52.0
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,18 to 64 years old,,Percent,43.7
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,18 to 64 years old,,Percent,44.1
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,18 to 64 years old,,Percent,39.3
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,18 to 64 years old,,Percent,35.9
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,49.2
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,46.4
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,38.6
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,65 years old and over,,Percent,37.0
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,36.9
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,38.7
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,33.8
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Urban,Percent,31.1
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,57.4
2017,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,56.8
2018,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,52.4
2019,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Kyrgyzstan,,,Rural,Percent,48.5
2016,Normal value,Units,Country Data,* Integrated sample survey of household budgets and labor.,Annual,National,Proportion of population living in poverty in all its dimensions according to national definitions,Batken,,,,Percent,64.9
