Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,,,Percent,2.2
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,Urban,,Percent,2.5
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,Rural,,Percent,2.1
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Batken,Female,15 to 49 years old,,,Percent,0.0
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Jalal-Abad,Female,15 to 49 years old,,,Percent,0.9
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Issyk-Kul,Female,15 to 49 years old,,,Percent,0.7
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Naryn,Female,15 to 49 years old,,,Percent,1.7
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Osh,Female,15 to 49 years old,,,Percent,1.1
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Talas,Female,15 to 49 years old,,,Percent,1.2
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Chui,Female,15 to 49 years old,,,Percent,6.3
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Bishkek (city),Female,15 to 49 years old,,,Percent,3.1
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Osh (city),Female,15 to 49 years old,,,Percent,1.7
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 19 years old,,,Percent,1.7
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 17 years old,,,Percent,1.1
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,18 to 19 years old,,,Percent,3.0
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,20 to 24 years old,,,Percent,2.3
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,25 to 29 years old,,,Percent,2.6
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,30 to 34 years old,,,Percent,2.3
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,35 to 39 years old,,,Percent,2.4
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,40 to 44 years old,,,Percent,2.3
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,45 to 49 years old,,,Percent,1.9
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,,Lower secondary education,Percent,2.3
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,,Upper secondary education,Percent,1.2
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,,Post-secondary non-tertiary education,Percent,2.7
2018,Normal value,Units,Country Data,"По данным кластерного обследования по многим показателям, 2018г.",Annual,National,Proportion of population subjected to robbery in the previous 12 months,Kyrgyzstan,Female,15 to 49 years old,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,3.3
