Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,145.4
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,1235.9
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,74.6
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,516.9
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,939.9
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,924.9
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,220.6
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,455.7
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,2290.6
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,1006.2
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,1027.4
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,1214.6
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Kyrgyzstan,Local currency,323.8
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,17.8
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,130.4
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,25.4
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,26.2
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,551.4
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,267.9
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,4.5
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,41.6
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,588.8
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,376.3
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,135.0
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,189.8
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Batken,Local currency,22.9
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,66.7
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,31.0
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,3.7
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,305.9
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,148.6
2012,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,375.2
2013,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,38.0
2014,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,31.2
2015,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,85.1
2016,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,232.3
2017,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,120.1
2018,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,72.9
2019,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Jalal-Abad,Local currency,168.8
2007,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,0.5
2008,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,0.7
2009,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,9.5
2010,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,0.6
2011,Normal value,Units,Country Data,according to the MES KR,Annual,National,Direct economic loss attributed to disasters,Issyk-Kul,Local currency,5.3
