Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",349.7
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",346.3
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",326.5
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",323.9
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",326.3
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",331.2
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",308.2
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",307.0
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",297.0
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",279.7
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",276.0
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",265.7
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Kyrgyzstan,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",266.2
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",289.2
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",295.3
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",301.8
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",285.1
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",305.7
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",338.2
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",289.5
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",283.0
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",284.8
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",292.3
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",284.3
2018,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",257.2
2019,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Batken,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",251.7
2007,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",284.4
2008,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",298.4
2009,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",278.5
2010,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",266.2
2011,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",289.8
2012,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",286.2
2013,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",264.6
2014,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",264.6
2015,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",268.3
2016,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",249.0
2017,Normal value,Units,Country Data,Annual,National,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease",Jalal-Abad,Non-communicable disease: Cardiovascular disease,"Per 100,000 population",244.0
