Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,4.0
2008,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,4.6
2009,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,6.9
2010,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,6.8
2011,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,6.2
2012,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,6.7
2013,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,7.2
2014,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,6.8
2015,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,7.6
2016,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,12.2
2017,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,11.3
2018,Normal value,Units,Country Data,Annual,National,Debt service as a proportion of exports of goods and services,Kyrgyzstan,Percent,13.0
