Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.3
2014,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.3
2015,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.2
2016,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.2
2017,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.3
2018,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,2.2
2019,Normal value,Units,Country Data,Annual,National,Share of employed in small enterprises in total employment,Kyrgyzstan,Percent,3.0
2013,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.6
2014,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.6
2015,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.5
2016,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.5
2017,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.5
2018,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.4
2019,Normal value,Units,Country Data,Annual,National,Share of employed in medium enterprises in total employment,Kyrgyzstan,Percent,1.4
