Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.0
2008,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.2
2009,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.0
2010,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,3.7
2011,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.5
2012,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.6
2013,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.6
2014,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.3
2015,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.7
2016,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,4.6
2017,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,5.0
2018,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,5.0
2019,Normal value,Units,Country Data,Annual,National,Tourism share in GDP,Kyrgyzstan,Percent,5.1
