Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2013,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.3
2014,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.2
2015,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.1
2016,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.1
2017,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.1
2018,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.1
2019,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Garbage chute,Percent,0.0
2013,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,26.9
2014,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,27.7
2015,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,30.6
2016,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,31.3
2017,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,38.8
2018,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,44.0
2019,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,"Waste removal: Collection by truck, container",Percent,46.9
2013,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,21.6
2014,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,23.4
2015,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,29.0
2016,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,22.4
2017,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,21.8
2018,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,20.2
2019,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Dumping into garbage heaps,Percent,20.2
2013,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,33.0
2014,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,31.8
2015,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,29.8
2016,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,32.9
2017,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,28.6
2018,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,25.6
2019,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burning,Percent,24.0
2013,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,18.2
2014,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,16.9
2015,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,10.6
2016,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,13.4
2017,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,10.9
2018,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,10.0
2019,Normal value,Units,Country Data,Annual,National,Waste removal by households,Kyrgyzstan,Waste removal: Burying,Percent,8.9
