Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.6
2011,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.4
2014,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of small-scale industries in total industry value added,Kyrgyzstan,Percent,1.7
