Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,10.810627
2016,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,16.102629
2017,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,20.2
2018,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,12.4
2019,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Kyrgyzstan,Index,14.10991
2015,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Batken,Index,34.216964
2016,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Batken,Index,51.97171
2017,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Batken,Index,50.7
2018,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Batken,Index,44.9
2019,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Batken,Index,37.375177
2015,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Jalal-Abad,Index,30.828434
2016,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Jalal-Abad,Index,35.669135
2017,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Jalal-Abad,Index,31.6
2018,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Jalal-Abad,Index,28.9
2019,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Jalal-Abad,Index,40.75486
2015,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Issyk-Kul,Index,-8.771443
2016,Normal value,Units,Country Data,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Issyk-Kul,Index,19.590714
