Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,23.470187
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,28.487981
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,31.143928
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,27.299499
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Kyrgyzstan,Index,28.931149
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Batken,Index,29.364645
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Batken,Index,47.911855
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Batken,Index,46.221681
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Batken,Index,42.644557
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Batken,Index,38.677928
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Jalal-Abad,Index,43.58955
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Jalal-Abad,Index,37.24933
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Jalal-Abad,Index,35.4
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Jalal-Abad,Index,32.708436
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Jalal-Abad,Index,34.657679
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Issyk-Kul,Index,-1.504559
2016,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Issyk-Kul,Index,16.638283
2017,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Issyk-Kul,Index,29.5
2018,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Issyk-Kul,Index,19.463418
2019,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Issyk-Kul,Index,31.583101
2015,Normal value,Units,Country Data,"Источник: Нацстатком,опрос населения по определению уровня доверия населения к  государственным органам исполнительной власти.",Annual,National,Executive branch of the government satisfaction index,Naryn,Index,20.617825
