Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Economic activity,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1514.8
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1559.6
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1592.9
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1589.7
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1603.9
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1602.8
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1629.1
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1653.0
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1686.4
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1683.0
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1611.3
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1686.9
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,,,,"Per 1,000 population",1754.2
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",928.9
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",936.1
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",983.6
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",993.8
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",999.9
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1008.4
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1044.3
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1040.6
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1077.9
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1095.7
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1074.4
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1131.7
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Male,,,,"Per 1,000 population",1161.7
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",585.9
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",623.5
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",609.4
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",595.9
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",604.0
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",594.4
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",584.8
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",612.3
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",608.5
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",587.3
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",536.9
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",555.2
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,Female,,,,"Per 1,000 population",592.5
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",129.7
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",130.2
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",139.2
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",128.9
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",120.5
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",109.0
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",126.1
2014,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",108.0
2015,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",101.7
2016,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",85.0
2017,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",71.1
2018,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",76.5
2019,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,15 to 19 years old,,,"Per 1,000 population",75.3
2007,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",463.8
2008,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",485.6
2009,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",492.5
2010,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",500.9
2011,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",502.9
2012,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",497.3
2013,Normal value,Units,Country Data,Annual,National,Employment in the informal sector incuding agriculture,Kyrgyzstan,,20 to 29 years old,,,"Per 1,000 population",523.0
