Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",51.9
2008,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",55.0
2009,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",63.5
2010,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",51.3
2011,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",54.8
2012,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",49.1
2013,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",36.0
2014,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",50.1
2015,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",38.5
2016,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",30.3
2017,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",31.9
2018,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",28.6
2019,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Kyrgyzstan,Female,"Per 100,000 live births",24.8
2007,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Batken,Female,"Per 100,000 live births",74.8
2008,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Batken,Female,"Per 100,000 live births",66.6
2009,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Batken,Female,"Per 100,000 live births",41.7
2010,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Batken,Female,"Per 100,000 live births",59.7
2011,Normal value,Units,Country Data,Annual,National,Maternal mortality ratio,Batken,Female,"Per 100,000 live births",66.9
