Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.1
2008,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.4
2009,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.0
2010,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.9
2011,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.5
2013,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,1.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,1.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,2.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,1.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established sanitary-chemical standards,Kyrgyzstan,Percent,1.4
2007,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,10.6
2008,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,10.7
2009,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,9.5
2010,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,11.3
2011,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,12.7
2012,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,10.7
2013,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,8.4
2014,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,6.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,7.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,8.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,8.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,8.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of drinking water samples that do not meet established microbiological standards,Kyrgyzstan,Percent,8.6
