Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,,Percent,48.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,,Percent,52.2
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Urban,,,Percent,66.0
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Urban,,,Percent,63.6
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Rural,,,Percent,38.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,Rural,,,Percent,45.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,Male,,,,,Percent,47.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,Male,,,,,Percent,53.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,Female,,,,,Percent,49.0
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,Female,,,,,Percent,51.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Batken,,,,,,Percent,32.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Batken,,,,,,Percent,58.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Jalal-Abad,,,,,,Percent,18.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Jalal-Abad,,,,,,Percent,28.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Issyk-Kul,,,,,,Percent,72.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Issyk-Kul,,,,,,Percent,74.6
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Naryn,,,,,,Percent,39.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Naryn,,,,,,Percent,47.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Osh,,,,,,Percent,39.6
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Osh,,,,,,Percent,48.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Talas,,,,,,Percent,42.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Talas,,,,,,Percent,44.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Chui,,,,,,Percent,63.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Chui,,,,,,Percent,54.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Bishkek (city),,,,,,Percent,67.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Bishkek (city),,,,,,Percent,59.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Osh (city),,,,,,Percent,94.6
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Osh (city),,,,,,Percent,95.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,15 to 28 years old,,,,Percent,48.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,15 to 28 years old,,,,Percent,53.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,48.9
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,Percent,52.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,48.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,Percent,49.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Primary education,Percent,48.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Primary education,Percent,51.5
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Lower secondary education,Percent,51.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Lower secondary education,Percent,52.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Upper secondary education,Percent,42.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Upper secondary education,Percent,48.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,55.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Post-secondary non-tertiary education,Percent,55.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,56.0
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,,Tertiary education (Bachelor’s and Master's or equivalent),Percent,58.3
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,37.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 1 (poorest),,Percent,40.1
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 2,,Percent,46.5
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 2,,Percent,50.8
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 3,,Percent,48.4
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 3,,Percent,52.0
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 4,,Percent,51.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 4,,Percent,55.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,55.3
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Proportion of population that has convenient access to public transport,Kyrgyzstan,,,,Quintile 5 (richest),,Percent,58.2
