Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,3.040621
2008,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.8227
2009,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.53626
2010,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.581546
2011,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.452673
2012,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.4
2013,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.365496
2014,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.325931
2015,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.201387
2016,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.181767
2017,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.280168
2018,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.791516
2019,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,,Percent,2.945501
2007,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.617864
2008,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.288586
2009,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.057784
2010,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.25141
2011,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.050403
2012,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.0
2013,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.022166
2014,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,2.924691
2015,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,2.851356
2016,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,2.875583
2017,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,2.965272
2018,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.612611
2019,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Female,Percent,3.684217
2007,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.618787
2008,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.471303
2009,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.153339
2010,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.099174
2011,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.022851
2012,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.0
2013,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,1.920636
2014,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,1.902712
2015,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,1.749646
2016,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,1.708779
2017,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,1.84019
2018,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.276337
2019,Normal value,Units,Country Data,Annual,National,Share of officially registered unemployed,Kyrgyzstan,Male,Percent,2.479511
