Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",13.4
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",8.5
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",7.7
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",6.7
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",7.6
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",4.3
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",4.5
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,,"Per 100,000 population",2.5
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",1.7
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",0.4
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",1.1
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",0.4
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",0.5
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",0.3
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",0.4
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Female,"Per 100,000 population",0.1
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",25.3
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",16.8
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",14.5
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",13.1
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",14.8
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",8.5
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",8.8
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Kyrgyzstan,Male,"Per 100,000 population",4.9
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",1.6
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",1.5
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",1.3
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",1.2
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",2.2
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",0.8
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",0.4
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,,"Per 100,000 population",0.2
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Female,"Per 100,000 population",0.4
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Female,"Per 100,000 population",0.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",3.1
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",3.0
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",2.5
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",2.4
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",3.9
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",1.5
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",0.8
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Batken,Male,"Per 100,000 population",0.4
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",5.2
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",3.2
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",2.3
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",1.2
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",2.0
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",1.9
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",1.5
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,,"Per 100,000 population",0.7
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.4
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.2
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.2
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",10.1
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",6.4
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",4.5
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",2.5
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",4.0
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",3.7
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",3.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Jalal-Abad,Male,"Per 100,000 population",1.3
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",2.9
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",4.8
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",5.0
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",6.4
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",3.6
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",5.8
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",0.6
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,,"Per 100,000 population",0.2
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Female,"Per 100,000 population",0.4
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Female,"Per 100,000 population",0.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",5.9
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",9.7
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",10.0
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",12.5
2016,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",7.2
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",11.7
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",1.2
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Issyk-Kul,Male,"Per 100,000 population",0.4
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",1.9
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",0.4
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",3.7
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",1.4
2017,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",1.1
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",0.4
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,,"Per 100,000 population",0.3
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Female,"Per 100,000 population",0.8
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Female,"Per 100,000 population",0.7
2018,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Female,"Per 100,000 population",0.0
2019,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Female,"Per 100,000 population",0.0
2010,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",3.0
2013,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",0.7
2014,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",6.5
2015,Normal value,Units,Country Data,Annual,National,Incidence of drug addition per 100 000 people,Naryn,Male,"Per 100,000 population",2.9
