Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,,Percent,62.8
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,,,,Percent,64.1
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,Urban,,,Percent,67.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,Urban,,,Percent,71.1
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,Rural,,,Percent,60.2
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,,15 years old and over,Rural,,,Percent,59.9
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,Male,15 years old and over,,,,Percent,63.7
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,Male,15 years old and over,,,,Percent,63.7
2018,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,Female,15 years old and over,,,,Percent,62.1
2019,Normal value,Units,Country Data,*Интегрированное выборочное обследование бюджетов домашних хозяйств и рабочей силы,Annual,National,Internet users per 100 inhabitants,Kyrgyzstan,Female,15 years old and over,,,,Percent,64.4
