Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,29.6
2011,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,29.0
2012,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,30.0
2013,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,28.3
2014,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,26.8
2015,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,27.0
2016,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,28.4
2017,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,26.8
2018,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,26.1
2019,Normal value,Units,Country Data,Annual,National,"Labour share of GDP, comprising wages and social protection transfers",Kyrgyzstan,Percent,24.5
