Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,27.716013
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,32.316212
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,24.233586
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,90.112821
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,27.924874
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,27.025061
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,38.431743
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,29.216361
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,22.079153
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,24.463597
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,17.014573
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,25.028299
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,,Percent,21.813169
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,15.549077
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,13.157949
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,10.590847
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,19.815059
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,10.078654
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,12.820667
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,16.056764
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,15.507042
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,8.391925
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,16.384907
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,13.60476
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,14.914402
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Female,Percent,12.801351
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,41.775785
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,52.283772
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,38.855636
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,164.348209
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,46.448956
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,42.343954
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,63.293021
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,44.619333
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,37.859348
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,33.692722
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,20.921618
2018,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,36.61573
2019,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Kyrgyzstan,Male,Percent,31.967565
2007,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,11.184431
2008,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,52.931596
2009,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,25.97515
2010,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,66.960769
2011,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,44.998269
2012,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,44.855428
2013,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,40.545177
2014,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,60.180542
2015,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,5.901968
2016,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,11.837822
2017,Normal value,Hundreds of thousands,Country Data,Annual,National,Non-fatal occupational injuries among employees (rate),Batken,,Percent,16.899028
