Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,UNIT_MEASURE,Value
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,,Percent,76.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,,Percent,79.6
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,,Percent,75.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,,,,Percent,76.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Urban,,,Percent,86.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Urban,,,Percent,88.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Urban,,,Percent,88.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Urban,,,Percent,90.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Rural,,,Percent,71.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Rural,,,Percent,74.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Rural,,,Percent,68.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,,,Rural,,,Percent,68.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Male,,,,,Percent,76.1
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Male,,,,,Percent,79.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Male,,,,,Percent,74.7
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Male,,,,,Percent,75.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Female,,,,,Percent,77.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Female,,,,,Percent,80.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Female,,,,,Percent,76.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Kyrgyzstan,Female,,,,,Percent,76.9
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Batken,,,,,,Percent,75.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Batken,,,,,,Percent,70.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Batken,,,,,,Percent,71.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Batken,,,,,,Percent,71.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Jalal-Abad,,,,,,Percent,76.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Jalal-Abad,,,,,,Percent,74.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Jalal-Abad,,,,,,Percent,64.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Jalal-Abad,,,,,,Percent,66.6
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Issyk-Kul,,,,,,Percent,47.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Issyk-Kul,,,,,,Percent,57.5
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Issyk-Kul,,,,,,Percent,67.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Issyk-Kul,,,,,,Percent,66.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Naryn,,,,,,Percent,77.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Naryn,,,,,,Percent,79.3
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Naryn,,,,,,Percent,79.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Naryn,,,,,,Percent,67.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh,,,,,,Percent,74.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh,,,,,,Percent,79.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of population with access to electricity,Osh,,,,,,Percent,66.6
