Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,60.521725
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,77.154938
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,51.354687
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,55.244615
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,48.2
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,49.472402
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,47.554172
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,48.479985
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,45.156055
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,40.667524
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,42.315954
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,44.70876
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,51.004239
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,48.629898
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,47.932099
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,50.982902
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,45.6165
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,50.0267
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,46.4
2019,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,,Percent,46.3
2000,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,69.472742
2001,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,84.06804
2002,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,67.700173
2003,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,59.23848
2004,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,49.4
2005,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,52.267834
2006,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,46.086276
2007,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,46.663125
2008,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,45.363642
2009,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,38.386768
2010,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,44.47285
2011,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,51.442437
2012,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,60.754126
2013,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,48.726107
2014,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,53.02
2015,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,58.534524
2016,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,48.6979
2017,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,55.5006
2018,Normal value,Units,Country Data,Annual,National,Prevalence of undernourishment,Kyrgyzstan,Urban,Percent,51.6
