Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,114961.0
2008,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,120274.0
2009,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,124751.0
2010,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,133398.0
2011,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,142897.0
2012,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,150206.0
2013,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,162967.0
2014,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,168679.0
2015,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,174693.0
2016,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,178944.0
2017,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,183330.0
2018,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,187313.0
2019,Normal value,Units,Country Data,Annual,National,Number of people with disabilities receiving pensions Monthly Social Allowance,Kyrgyzstan,Percent,194364.0
2007,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.190749
2008,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.273953
2009,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.326232
2010,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.46199
2011,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.608742
2012,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.705494
2013,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.821172
2014,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.861361
2015,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.902128
2016,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.914302
2017,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.930125
2018,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.931575
2019,Normal value,Units,Country Data,Annual,National,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Kyrgyzstan,Percent,2.931575
