Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,101.9
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,98.1
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,99.5
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,98.9
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,97.5
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,96.9
2016,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,98.7
2017,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,100.4
2018,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,102.2
2019,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,"Sector: General public services


",Percent,101.9
2010,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,62.9
2011,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,98.4
2012,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,99.4
2013,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,95.7
2014,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,84.8
2015,Normal value,Units,Country Data,* по данным МФ КР,Annual,National,Primary government expenditures as a proportion of original approved budget,Kyrgyzstan,Sector: Economic affairs,Percent,94.8
