Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,43.1
2008,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,41.5
2009,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,39.0
2010,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,42.8
2011,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,45.3
2012,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,47.1
2013,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,51.6
2014,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,47.6
2015,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,46.8
2016,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,45.3
2017,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,45.3
2018,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,48.9
2019,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services (education, health and social protection)",Kyrgyzstan,Percent,49.2
2007,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services, education",Kyrgyzstan,Percent,22.4
2008,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services, education",Kyrgyzstan,Percent,21.4
2009,Normal value,Units,Country Data,Annual,National,"Proportion of total government spending on essential services, education",Kyrgyzstan,Percent,19.6
