Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,576.9
2011,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,587.5
2012,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,526.0
2013,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,561.9
2014,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,665.9
2015,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,810.1
2016,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,934.5
2017,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,921.5
2018,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,962.4
2019,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,,Local currency,798.7
2010,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,39.2
2011,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,41.2
2012,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,28.2
2013,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,22.4
2014,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,56.2
2015,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,71.5
2016,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,60.4
2017,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,52.7
2018,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,64.1
2019,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Pollution control,Local currency,72.2
2010,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,69.1
2011,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,68.5
2012,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,73.2
2013,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,80.9
2014,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,93.3
2015,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,114.1
2016,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,145.8
2017,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,131.7
2018,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,136.5
2019,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Nature parks and reserves,Local currency,136.9
2010,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,3.6
2011,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,6.8
2012,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,4.9
2013,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,6.5
2014,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,8.4
2015,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,9.4
2016,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,10.4
2017,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,9.8
2018,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,10.4
2019,Normal value,Millions,Country Data,Annual,National,Public expenditure on environment preservation (forest),Kyrgyzstan,Expenditure on Animal protection,Local currency,12.3
