Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,Value
2015,Normal value,Units,Country Data,Annual,National,"Median value, som per month per capita",Kyrgyzstan,,,,,Percent,3390.2
2016,Normal value,Units,Country Data,Annual,National,"Median value, som per month per capita",Kyrgyzstan,,,,,Percent,3572.5
2017,Normal value,Units,Country Data,Annual,National,"Median value, som per month per capita",Kyrgyzstan,,,,,Percent,3991.9
2018,Normal value,Units,Country Data,Annual,National,"Median value, som per month per capita",Kyrgyzstan,,,,,Percent,4466.4
2019,Normal value,Units,Country Data,Annual,National,"Median value, som per month per capita",Kyrgyzstan,,,,,Percent,4774.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,,Bottom 50%,Percent,12.0
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,,Bottom 50%,Percent,11.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,,Bottom 50%,Percent,11.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,,Bottom 50%,Percent,11.9
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,,Bottom 50%,Percent,11.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Urban,Bottom 50%,Percent,8.2
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Urban,Bottom 50%,Percent,8.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Urban,Bottom 50%,Percent,7.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Urban,Bottom 50%,Percent,8.1
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Urban,Bottom 50%,Percent,8.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Rural,Bottom 50%,Percent,14.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Rural,Bottom 50%,Percent,13.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Rural,Bottom 50%,Percent,12.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Rural,Bottom 50%,Percent,14.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,,Rural,Bottom 50%,Percent,12.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,,Bottom 50%,Percent,11.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,,Bottom 50%,Percent,11.4
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,,Bottom 50%,Percent,10.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,,Bottom 50%,Percent,11.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Female,,,Bottom 50%,Percent,11.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,,Bottom 50%,Percent,12.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,,Bottom 50%,Percent,11.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,,Bottom 50%,Percent,11.2
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,,Bottom 50%,Percent,12.0
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,Male,,,Bottom 50%,Percent,11.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,under 17 years old,,Bottom 50%,Percent,19.5
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,under 17 years old,,Bottom 50%,Percent,17.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,under 17 years old,,Bottom 50%,Percent,17.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,under 17 years old,,Bottom 50%,Percent,18.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,under 17 years old,,Bottom 50%,Percent,17.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,14 to 28 years old,,Bottom 50%,Percent,12.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,14 to 28 years old,,Bottom 50%,Percent,12.5
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,14 to 28 years old,,Bottom 50%,Percent,11.4
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,14 to 28 years old,,Bottom 50%,Percent,13.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,14 to 28 years old,,Bottom 50%,Percent,10.7
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,Percent,12.3
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,Percent,12.6
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,Percent,11.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,Percent,12.2
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,Percent,11.0
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,Percent,7.8
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,Percent,7.8
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,Percent,7.5
2018,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,Percent,8.4
2019,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Kyrgyzstan,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,Percent,8.8
2015,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,Percent,9.4
2016,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,Percent,12.2
2017,Normal value,Units,Country Data,Annual,National,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,Percent,17.0
