Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Time series-level footnotes,Value
2007,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,9.9
2008,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,13.2
2009,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,14.2
2010,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,16.9
2011,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,18.3
2012,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,12.1
2013,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,15.8
2014,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,13.7
2015,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,14.0
2016,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,15.4
2017,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,15.0
2018,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,14.3
2019,Normal value,Units,Country Data,Annual,National,Manufacturing value added as a proportion of GDP,Kyrgyzstan,Percent,PT,14.3
2007,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,2.8
2008,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,4.9
2009,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,5.6
2010,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,7.2
2011,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,9.9
2012,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,7.0
2013,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,10.3
2014,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,9.8
2015,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,10.6
2016,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,12.6
2017,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,13.4
2018,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,13.4
2019,Normal value,Thousands,Country Data,Annual,National,Manufacturing value added per capita,Kyrgyzstan,Local currency,CUR_LCU,13.5
