Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,Value
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,92.4
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,93.2
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,89.6
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,88.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,89.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,89.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,91.1
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,91.8
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,,Percent,94.060699
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.7
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.8
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.5
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.1
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.1
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,93.9
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.3
2019,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Urban,Percent,99.422592
2011,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,88.0
2012,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,89.4
2013,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,84.4
2014,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,83.3
2015,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,83.7
2016,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,84.9
2017,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,86.7
2018,Normal value,Units,Country Data,Annual,National,Proportion of population using safely managed drinking water services,Kyrgyzstan,Rural,Percent,87.8
