Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,UNIT_MEASURE,Observation-level footnotes,Value
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,,,Percent,,98.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,Male,under 5 years old,,,,,Percent,,99.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,Female,under 5 years old,,,,,Percent,,98.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,Urban,,,,Percent,,99.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,Rural,,,,Percent,,98.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Batken,,under 5 years old,,,,,Percent,,99.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Jalal-Abad,,under 5 years old,,,,,Percent,,99.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Issyk-Kul,,under 5 years old,,,,,Percent,,99.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Naryn,,under 5 years old,,,,,Percent,,99.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Osh,,under 5 years old,,,,,Percent,,99.3
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Talas,,under 5 years old,,,,,Percent,,99.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Chui,,under 5 years old,,,,,Percent,,96.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Bishkek (city),,under 5 years old,,,,,Percent,,99.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Osh (city),,under 5 years old,,,,,Percent,,97.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 1 year old,,,,,Percent,,96.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,12 to 23 months old,,,,,Percent,,98.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,24 to 35 months old,,,,,Percent,,99.2
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,3 to 4 years old,,,,,Percent,,99.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,48 to 59 months old,,,,,Percent,,99.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,Lower secondary education,,Percent,Education of mother,98.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,Upper secondary education,,Percent,Education of mother,98.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,Post-secondary non-tertiary education,,Percent,Education of mother,98.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,Tertiary education (Bachelor’s and Master's or equivalent),,Percent,Education of mother,99.5
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,,Child with disability,Percent,,100.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,,,Child without disability,Percent,,99.6
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,18 to 49 years old,,,,Mother with disability,Percent,,97.7
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,18 to 49 years old,,,,Mother without disability,Percent,,98.9
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,18 to 49 years old,,,,No information,Percent,,100.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,Quintile 1 (poorest),,,Percent,,99.0
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,Quintile 2,,,Percent,,98.4
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,Quintile 3,,,Percent,,98.8
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,Quintile 4,,,Percent,,99.1
2018,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2018",Annual,National,Proportion of children under 5 years of age whose births have been registered with a civil authority,Kyrgyzstan,,under 5 years old,,Quintile 5 (richest),,,Percent,,99.6
