Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",115.478276
2008,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",106.340082
2009,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",103.932976
2010,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",101.138775
2011,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",100.367124
2012,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",104.342194
2013,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",102.43272
2014,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",101.065558
2015,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",98.249685
2016,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",93.423511
2017,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",90.6
2018,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",83.012882
2019,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,,"Per 100,000 population",78.928029
2007,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",91.061332
2008,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",85.809103
2009,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",85.417204
2010,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",84.9
2011,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",81.94725
2012,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",85.223608
2013,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",87.8
2014,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",88.7
2015,Normal value,Units,Country Data,Annual,National,Tuberculosis incidence,Kyrgyzstan,Female,"Per 100,000 population",83.7
