Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.018437
2008,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.003428
2009,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000743
2010,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000367
2011,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.007979
2012,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000535
2013,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000699
2015,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000168
2016,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000987
2017,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000323
2018,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.000158
2019,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Kyrgyzstan,"Per 1,000 population",0.0
2007,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Batken,"Per 1,000 population",0.051816
2008,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Batken,"Per 1,000 population",0.004667
2009,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Batken,"Per 1,000 population",0.006969
2007,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Jalal-Abad,"Per 1,000 population",0.006141
2008,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Jalal-Abad,"Per 1,000 population",0.001013
2009,Normal value,Units,Country Data,Annual,National,"Malaria incidence per 1,000 population at risk",Jalal-Abad,"Per 1,000 population",0.000985
