Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Sex,UNIT_MEASURE,Value
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,30
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,49
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,31
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,44
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,45
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,16
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,13
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,,Percent,12
2012,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,39
2013,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,61
2014,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,57
2015,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,57
2016,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,59
2017,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,23
2018,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,20
2019,Normal value,Units,Country Data,"*Without government bodies providing defense, public order and security",Annual,National,Proportion of positions in public institutions: in political positions,Kyrgyzstan,Male,Percent,17
