Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Degree of urbanisation,Economic activity,UNIT_MEASURE,Value
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,,Percent,22.971916
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,,Percent,18.3
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,,Percent,18.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,,Percent,15.5
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,,,,Percent,13.2
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Male,,,,Percent,24.625381
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Male,,,,Percent,19.7
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Male,,,,Percent,20.0
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Male,,,,Percent,16.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Male,,,,Percent,14.9
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Female,,,,Percent,20.568799
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Female,,,,Percent,16.0
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Female,,,,Percent,14.8
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Female,,,,Percent,13.6
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,Female,,,,Percent,10.5
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,15 to 19 years old,,,Percent,23.727492
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,15 to 19 years old,,,Percent,18.981762
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,15 to 19 years old,,,Percent,14.748617
2018,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,15 to 19 years old,,,Percent,12.569312
2019,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,15 to 19 years old,,,Percent,6.6
2015,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,20 to 24 years old,,,Percent,19.900404
2016,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,20 to 24 years old,,,Percent,18.030501
2017,Normal value,Units,Country Data,Annual,National,Proportion of employed population living below the official poverty line,Kyrgyzstan,,20 to 24 years old,,,Percent,13.948053
