Year,Observation status,Unit multiplier,Nature of data points,Source details,Frequency of observation,Reporting type,SERIES,Reference area,Age,UNIT_MEASURE,Value
2007,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",6.107469
2008,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",6.545429
2009,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",6.616596
2010,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",5.693049
2011,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",6.772418
2012,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.28108
2013,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.394386
2014,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.425508
2015,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.827334
2016,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.94841
2017,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.710477
2018,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.640969
2019,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of commercial bank branches per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.566574
2007,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",2.471394
2008,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",4.888003
2009,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",8.720619
2010,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",7.554757
2011,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",12.265008
2012,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",15.97647
2013,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",21.075288
2014,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",25.292345
2015,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",30.81078
2016,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",31.891768
2017,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",34.153303
2018,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",37.681164
2019,Normal value,Units,Country Data,*according to the NBKR,Annual,National,"Number of automated teller machines (ATMs) per 100,000 adults",Kyrgyzstan,16 years old and over,"Per 100,000 population",40.105182
